distance,destination_dict,source_dict,name_dict,cab_type_dict,price
0.44,7,5,2,0,11.0
1.08,8,0,4,0,27.5
1.11,11,6,12,1,7.5
0.72,5,7,4,0,26.0
3.24,8,7,7,0,3.5
3.24,8,7,5,0,11.0
3.24,8,7,3,0,26.0
2.94,3,7,11,1,15.0
2.94,3,7,0,1,22.0
1.76,9,7,6,0,13.5
0.71,11,5,6,0,9.0
1.23,10,5,3,0,16.5
2.67,1,6,10,1,9.5
3.39,7,2,1,1,34.0
2.82,11,3,4,0,32.5
1.57,6,10,12,1,8.0
1.57,6,10,9,1,8.0
1.57,6,10,1,1,27.0
3.2,8,11,9,1,13.5
1.02,6,7,4,0,26.0
1.17,5,4,6,0,10.5
1.4,3,0,5,0,7.0
1.4,3,0,2,0,13.5
1.01,7,6,3,0,16.5
2.84,3,11,0,1,23.0
1.3,10,9,10,1,9.5
2.59,1,8,1,1,35.0
2.66,3,10,11,1,18.0
2.66,3,10,12,1,10.5
2.66,3,10,1,1,33.0
2.66,3,10,10,1,10.5
2.81,10,8,1,1,30.5
1.4,2,0,11,1,11.5
1.08,6,7,3,0,16.5
3.14,11,2,3,0,27.5
1.79,0,5,0,1,18.0
3.07,7,3,0,1,24.0
1.16,11,6,9,1,7.0
1.16,11,6,0,1,16.0
2.14,9,11,12,1,8.5
0.91,1,5,12,1,7.0
0.91,1,5,11,1,11.5
2.58,1,9,9,1,8.5
3.23,7,3,2,0,22.5
0.64,11,5,5,0,7.0
0.64,11,5,6,0,10.5
2.38,7,9,12,1,9.5
2.61,9,0,6,0,16.5
2.61,9,0,4,0,32.5
3.45,9,0,11,1,16.0
1.35,6,1,1,1,27.5
1.35,6,1,12,1,9.0
1.16,10,5,12,1,7.5
2.93,10,2,3,0,30.0
1.07,4,6,1,1,27.5
3.17,3,7,6,0,16.5
1.57,6,10,12,1,9.5
1.57,6,10,1,1,28.5
1.2,6,7,4,0,27.5
1.2,6,7,5,0,7.0
1.2,6,7,2,0,13.5
3.14,2,7,6,0,19.5
1.08,8,0,0,1,15.0
1.08,8,0,1,1,27.0
1.08,8,0,10,1,12.5
1.08,8,0,9,1,12.0
2.8,2,11,1,1,32.5
1.58,7,9,11,1,13.0
1.58,7,9,1,1,27.5
1.71,9,11,12,1,8.0
3.23,1,2,1,1,35.0
1.61,5,10,10,1,11.5
0.55,9,10,10,1,7.0
1.3,10,9,9,1,6.5
2.84,3,11,10,1,10.5
1.45,6,1,7,0,3.5
1.79,1,6,1,1,31.5
0.49,7,5,0,1,15.0
2.46,1,3,11,1,16.5
2.46,1,3,1,1,32.0
2.34,0,6,9,1,9.5
2.34,0,6,1,1,31.0
2.56,1,9,2,0,19.5
4.23,4,8,3,0,32.5
1.56,0,2,9,1,7.0
0.39,9,4,1,1,26.0
2.35,2,1,4,0,30.0
1.52,0,2,3,0,19.5
2.05,10,8,6,0,13.5
2.05,10,8,2,0,16.5
2.66,3,10,9,1,8.5
